Name,Team,Iso-freq,iso-pts,tra-freq,tra-pts,p&rh-freq,p&rh-pts,p&rr-pts,p&rr-pts,postup-freq,postup-pts,spotup-freq,spotup-pts,handoff-freq,handoff-pts,cut-freq,cut-pts
Jeremy Lamb,CHA,0.073,0.81,0.135,1.1,0.35,1.01,0,0,0,0,0.205,1.03,0.076,0.84,0.026,1.33
Evan Fournier,ORL,0.038,0.77,0.132,1.19,0.318,0.96,0,0,0,0,0.174,1.17,0.117,1.01,0.034,1.69
Miles Bridges,CHA,0.049,0.77,0.149,0.94,0.073,0.97,0.059,0.72,0.078,1.09,0.37,1,0.031,0.54,0.051,1.28
Taurean Prince,BKN,0.045,0.78,0.186,0.98,0.074,0.66,0.04,0.75,0,0,0.421,0.91,0.049,0.57,0.018,1.06
Norman Powell,TOR,0.026,1.11,0.293,1.22,0.143,0.82,0,0,0,0,0.27,1.21,0.038,1.18,0.046,1.53
Markelle Fultz,ORL,0.02,0.085,0.165,1.15,0.441,0.85,0,0,0.019,0.26,0.143,0.74,0.069,0.85,0.045,1.36
J.J. Redick,NOP,0.021,1.06,0.178,1.36,0.129,1.11,0.017,1.69,0,0,0.165,1.09,0.145,1.07,0,0
Donte Divincenzo,MIL,0.039,0.92,0.241,1.08,0.194,0.81,0,0,0,0,0.212,0.97,0.08,1.2,0.074,1.3
Danuel House jr.,HOU,0.017,0.91,0.255,1.28,0.025,0.56,0.067,0.86,0,0,0.448,1,0.029,1.11,0.063,1.2
Danny Green,LAL,0,0,0.255,1.11,0.031,0.77,0,0,0,0,0.403,1.06,0.034,0.68,0.058,1.06
Justin Holiday,IND,0,0,0.225,1.24,0.049,0.67,0,0,0,0,0.363,1.1,0.049,1.48,0.056,1.16
Joe Harris,BKN,0,0,0.129,1.29,0.043,0.7,0.033,1,0,0,0.275,1.19,0.138,1,0.054,1.32
Robert Covington,HOU,0.023,1.14,0.212,1.17,0.039,0.83,0.078,1.05,0,0,0.571,0.86,0,0,0.037,1.4
Cam Reddish,ATL,0.035,0.64,0.206,1.02,0.214,0.72,0,0,0,0,0.293,0.87,0.123,0.82,0.037,1.27
Brad Wanamaker,BOS,0.032,0.5,0.232,1.27,0.305,0.8,0,0,0,0,0.263,1.04,0.036,0.72,0.03,1.47
Al Horford,BOS,0.03,0.64,0.146,1.2,0,0,0.177,1.04,0.237,0.89,0.203,0.91,0,0,0.053,1.32
Terence Davis,TOR,0.03,1.31,0.247,1.09,0.178,0.66,0,0,0,0,0.296,1.13,0.024,0.54,0.06,1.34
Langston Galloway,DET,0,0,0.174,1.35,0.078,0.77,0.025,1,0,0,0.348,1.22,0.139,0.8,0.018,1.09
Garrett Temple,BKN,0.041,0.64,0.16,1.3,0.147,0.58,0.022,1.13,0,0,0.371,0.99,0.045,1.26,0.034,0.7
Dorian Finney-Smith,DAL,0,0,0.175,1.26,0.034,0.82,0.077,1,0,0,0.425,1.03,0.017,0.46,0.077,1.43
Bryn Forbes,SAS,0,0,0.183,1.15,0.138,0.85,0,0,0,0,0.373,1.14,0.141,1.13,0,0
Ricky Rubio,PHO,0.023,0.96,0.147,0.99,0.393,0.77,0,0,0,0,0.245,1,0.071,0.88,0.02,0.79
Brandon Clarke,MEM,0.026,0.53,0.172,1.39,0,0,0.229,1.51,0.023,0.69,0.205,1.09,0,0,0.139,1.33
Cameron Johnson,PHO,0,0,0.222,0.135,0.035,0.81,0,0,0,0,0.437,1.1,0.046,0.52,0.074,0.94
Gary Harris,DEN,0.021,0.77,0.194,1.15,0.123,0.74,0,0,0,0,0.253,1,0.239,0.87,0.066,1.1
Seth Curry,DAL,0.042,1,0.163,1.26,0.232,1.03,0,0,0,0,0.344,1.36,0.049,1.06,0,0
