player,team,iso_freq,tra_freq,prh_freq,prr_freq,postup_freq,spotup_freq,handoff_freq,cut_freq,iso_pts,tra_pts,prh_pts,prr_pts,postup_pts,spotup_pts,handoff_pts,cut_pts,on_ball_creation,off_ball_finishing,transition_impact,iso_impact,prh_impact,spotup_impact,overall_efficiency,play_diversity,pca1,pca2,cluster_kmeans,cluster_dbscan,cluster_kmodes,archetype
Marcus.Morris,LAC,0.098,0.107,0.205,0.013,0.053,0.311,0.072,0.02,0.96,1.31,1.05,0.7,0.91,0.95,1.02,1.06,0.428,0.34400000000000003,0.14017000000000002,0.09408,0.21525,0.29545,1.0203868020245883,6.0,0.2590054125024588,1.5554349028472614,0,-1,1,⚡ Iso Creator / Star Guard
Andrew Wiggins,GSW,0.091,0.093,0.364,0.0,0.04,0.137,0.094,0.056,0.8,1.11,0.86,0.0,0.97,0.9,1.27,1.53,0.589,0.193,0.10323,0.0728,0.31304,0.1233,0.9785485703102301,6.0,2.8598543302290604,1.1216002480655602,0,-1,2,⚡ Iso Creator / Star Guard
Jamal Murray,DEN,0.075,0.11,0.311,0.022,0.016,0.128,0.154,0.057,0.85,1.11,0.87,1.25,1.29,1.07,0.93,1.4,0.556,0.207,0.12210000000000001,0.06375,0.27057,0.13696,0.9903092772161405,6.0,1.9170126671946484,1.5546027356926497,0,-1,2,⚡ Iso Creator / Star Guard
Jaylen Brown,BOS,0.074,0.224,0.131,0.026,0.044,0.281,0.054,0.031,0.82,1.18,0.87,0.93,1.12,1.1,0.97,1.2,0.303,0.3380000000000001,0.26432,0.06067999999999999,0.11397,0.30910000000000004,1.0533063571638077,5.0,-1.7899937785588262,0.5607370311010921,1,-1,0,🎯 Spot-Up 3PT Shooter
Lou Williams,LAC,0.07,0.137,0.512,0.008,0.0,0.11,0.049,0.009,0.77,0.95,0.92,0.5,0.0,1.07,1.0,1.27,0.6310000000000001,0.127,0.13015000000000002,0.0539,0.47104,0.11770000000000001,0.9354413397369371,4.0,3.8006848237432793,-1.243872393400302,0,3,2,⚡ Iso Creator / Star Guard
Devonte' Graham,CHA,0.079,0.142,0.45,0.0,0.0,0.137,0.067,0.012,0.69,1.05,0.9,0.0,0.0,1.18,0.77,1.13,0.5960000000000001,0.14900000000000002,0.14909999999999998,0.054509999999999996,0.405,0.16166,0.9418489279122335,5.0,3.089078664480339,-1.3168830756647019,0,-1,2,⚡ Iso Creator / Star Guard
Jordan Clarkson,UTA,0.097,0.145,0.258,0.016,0.0,0.259,0.079,0.022,1.07,1.17,0.96,0.5,0.0,1.07,0.96,1.0,0.434,0.29700000000000004,0.16964999999999997,0.10379000000000001,0.24768,0.27713000000000004,1.0320662088675046,5.0,0.8998623863603595,-0.3528800441637777,0,4,0,⚡ Iso Creator / Star Guard
Harrison Barnes,SAC,0.08,0.14,0.1,0.0,0.163,0.277,0.013,0.059,0.8,1.11,1.02,0.0,0.96,1.13,1.0,1.31,0.356,0.336,0.15540000000000004,0.064,0.10200000000000001,0.31301,1.0591105756501076,6.0,-0.9828028718558298,2.4280258655674922,2,5,1,✂️ Off-Ball Cutter / Finisher
Gordon Hayward,BOS,0.063,0.153,0.268,0.02,0.017,0.19,0.079,0.057,1.15,1.27,0.89,0.53,1.13,1.2,1.0,1.37,0.42700000000000005,0.267,0.19431,0.07245,0.23852,0.22799999999999998,1.086399054207321,6.0,0.40218644195584746,1.3966233477234575,0,-1,0,⚡ Iso Creator / Star Guard
Dejounte Murray,SAS,0.095,0.211,0.313,0.0,0.0,0.224,0.023,0.023,0.81,1.12,0.75,0.0,0.0,0.97,0.68,1.05,0.43100000000000005,0.247,0.23632,0.07695,0.23475000000000001,0.21728,0.9056130473502665,4.0,0.7355536474382928,-1.863110912165278,0,4,0,⚡ Iso Creator / Star Guard
Rudy Gay,SAS,0.106,0.138,0.106,0.059,0.088,0.337,0.024,0.027,0.79,1.09,1.15,1.02,0.74,0.94,0.78,1.35,0.324,0.42300000000000004,0.15042000000000003,0.08374,0.12189999999999998,0.31678,0.9641920893059975,6.0,-1.136596138126356,2.588094327543575,2,5,1,✂️ Off-Ball Cutter / Finisher
Kevin Porter jr.,CLE,0.136,0.185,0.262,0.0,0.0,0.183,0.065,0.057,0.8,1.06,0.71,0.0,0.0,1.14,0.72,1.56,0.463,0.24,0.1961,0.10880000000000001,0.18602,0.20861999999999997,0.9406081070488648,6.0,1.2930765482569555,-0.10003781999023,0,-1,0,⚡ Iso Creator / Star Guard
